,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
133,,,,,,,,,,,,,
134,Regular Season,27.0,Sat,2023-09-30,15:00,HFX Wanderers,2–1,Forge FC,6254.0,Wanderers Grounds,Michael Venne,Match Report,
135,Regular Season,27.0,Sat,2023-09-30,16:00,Pacific FC,1–2,Vancouver FC,4404.0,Starlight Stadium,Ben Hoskins,Match Report,
136,Regular Season,27.0,Fri,2023-09-29,19:00,Cavalry FC,2–1,Valour FC,3951.0,ATCO Field,Myriam Marcotte,Match Report,
137,Regular Season,27.0,Sun,2023-10-01,13:00,York9 FC,1–0,Atlético Ottawa,1783.0,York Lions Stadium,David Barrie,Match Report,
138,,,,,,,,,,,,,
139,Regular Season,28.0,Fri,2023-10-06,18:30,Valour FC,0–1,HFX Wanderers,3317.0,IG Field,Yusri Rudolf,Match Report,
140,Regular Season,28.0,Sat,2023-10-07,15:00,Cavalry FC,3–0,Pacific FC,4656.0,ATCO Field,Renzo Villanueva,Match Report,
141,Regular Season,28.0,Sat,2023-10-07,17:00,Forge FC,0–1,Atlético Ottawa,6013.0,Tim Hortons Field,Scott Bowman,Match Report,
142,Regular Season,28.0,Fri,2023-10-06,19:30,Vancouver FC,1–2,York9 FC,3622.0,Willoughby Community Park Stadium,Michael Venne,Match Report,
143,,,,,,,,,,,,,
144,Play-in match,,Wed,2023-10-11,21:00,Pacific FC,1–0,York9 FC,2780.0,Starlight Stadium,Ben Hoskins,Match Report,
145,First semifinal,,Sat,2023-10-14,15:00,Cavalry FC,1–2,Forge FC,4385.0,ATCO Field,Scott Bowman,Match Report,
146,Quarterfinals,,Sat,2023-10-14,15:00,HFX Wanderers,0–1,Pacific FC,6254.0,Wanderers Grounds,Yusri Rudolf,Match Report,
147,Second semifinal,,Sat,2023-10-21,14:00,Cavalry FC,2–1,Pacific FC,4066.0,ATCO Field,Michael Venne,Match Report,
148,Final,,Sat,2023-10-28,18:00,Forge FC,2–1,Cavalry FC,13925.0,Tim Hortons Field,Marie-Soleil Beaudoin,Match Report,Required Extra Time
