,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
15,Spring Season,Sat,2019-05-25,16:30,Cavalry FC,2–0,HFX Wanderers,3162,Spruce Meadows,David Barrie,Match Report,
16,Spring Season,Wed,2019-05-29,19:00,HFX Wanderers,1–1,York9 FC,5387,Wanderers Grounds,Fabrizio Stasolla,Match Report,
17,Spring Season,Wed,2019-05-29,19:00,Forge FC,2–0,FC Edmonton,6019,Tim Hortons Field,Mathieu Souaré,Match Report,
18,Spring Season,Sat,2019-06-01,14:00,HFX Wanderers,2–1,Pacific FC,6244,Wanderers Grounds,Pierre-Luc Lauziere,Match Report,
19,Spring Season,Sun,2019-06-02,10:30,FC Edmonton,0–1,Valour FC,3762,Clarke Stadium,Yusri Rudolf,Match Report,
20,Spring Season,Sat,2019-06-15,12:00,York9 FC,1–0,Pacific FC,2908,York Lions Stadium,David Barrie,Match Report,
21,Spring Season,Sat,2019-06-15,12:30,FC Edmonton,0–3,Cavalry FC,3256,Clarke Stadium,Juan Marquez,Match Report,
22,Spring Season,Sat,2019-06-15,17:00,Forge FC,2–1,Valour FC,7152,Tim Hortons Field,Alain Ruch,Match Report,
23,Spring Season,Wed,2019-06-19,19:00,York9 FC,0–0,FC Edmonton,1729,York Lions Stadium,Filip Dujic,Match Report,
24,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
25,Spring Season,Wed,2019-06-19,19:00,HFX Wanderers,1–2,Cavalry FC,6021,Wanderers Grounds,Yusri Rudolf,Match Report,
